image,tag,total_layers,file_layer,image_size(byte),layer_size(byte),file_size(byte),filepath
jruby,latest,11,6,340748337,108097240,126952,/usr/local/openjdk-8/lib/amd64/libzip.so
jruby,latest,11,6,340748337,108097240,17199189,/usr/local/openjdk-8/lib/amd64/server/libjvm.so
jruby,latest,11,6,340748337,108097240,4102,/usr/local/openjdk-8/lib/currency.data
jruby,latest,11,6,340748337,108097240,617,/usr/local/openjdk-8/lib/ext/meta-index
jruby,latest,11,6,340748337,108097240,96697,/usr/local/openjdk-8/lib/jce.jar
jruby,latest,11,6,340748337,108097240,888828,/usr/local/openjdk-8/lib/jfr.jar
jruby,latest,11,6,340748337,108097240,1921496,/usr/local/openjdk-8/lib/jsse.jar
jruby,latest,11,6,340748337,108097240,2455,/usr/local/openjdk-8/lib/logging.properties
jruby,latest,11,6,340748337,108097240,1955,/usr/local/openjdk-8/lib/meta-index
jruby,latest,11,6,340748337,108097240,3530659,/usr/local/openjdk-8/lib/resources.jar
jruby,latest,11,6,340748337,108097240,65564331,/usr/local/openjdk-8/lib/rt.jar
jruby,latest,11,6,340748337,108097240,51423,/usr/local/openjdk-8/lib/security/java.security
jruby,latest,11,6,340748337,108097240,635,/usr/local/openjdk-8/lib/security/policy/unlimited/local_policy.jar
jruby,latest,11,6,340748337,108097240,617,/usr/local/openjdk-8/lib/security/policy/unlimited/US_export_policy.jar
jruby,latest,11,6,340748337,108097240,106917,/usr/local/openjdk-8/lib/tzdb.dat
jruby,latest,11,6,340748337,108097240,100,/usr/local/openjdk-8/release
ibmjava,latest,3,1,266314512,63153546,497,/etc/nsswitch.conf
ibmjava,latest,3,1,266314512,63153546,2030928,/lib/x86_64-linux-gnu/libc.so.6
ibmjava,latest,3,1,266314512,63153546,14560,/lib/x86_64-linux-gnu/libdl.so.2
ibmjava,latest,3,1,266314512,63153546,97176,/lib/x86_64-linux-gnu/libnsl.so.1
ibmjava,latest,3,1,266314512,63153546,47568,/lib/x86_64-linux-gnu/libnss_files.so.2
ibmjava,latest,3,1,266314512,63153546,47576,/lib/x86_64-linux-gnu/libnss_nis.so.2
ibmjava,latest,3,1,266314512,63153546,170784,/lib/x86_64-linux-gnu/libtinfo.so.5
gradle,latest,7,6,780162961,192061990,472,/etc/group
gradle,latest,7,2,780162961,56170326,118,/etc/localtime
gradle,latest,7,1,780162961,72759661,494,/etc/nsswitch.conf
gradle,latest,7,5,780162961,333726,969,/etc/passwd
gradle,latest,7,2,780162961,56170326,8,/etc/timezone
gradle,latest,7,1,780162961,72759661,39088,/lib/x86_64-linux-gnu/libacl.so.1
gradle,latest,7,1,780162961,72759661,2029560,/lib/x86_64-linux-gnu/libc.so.6
gradle,latest,7,1,780162961,72759661,18816,/lib/x86_64-linux-gnu/libdl.so.2
gradle,latest,7,1,780162961,72759661,104984,/lib/x86_64-linux-gnu/libgcc_s.so.1
gradle,latest,7,1,780162961,72759661,1369352,/lib/x86_64-linux-gnu/libm.so.6
gradle,latest,7,1,780162961,72759661,231504,/lib/x86_64-linux-gnu/libncursesw.so.6
gradle,latest,7,1,780162961,72759661,51832,/lib/x86_64-linux-gnu/libnss_files.so.2
gradle,latest,7,1,780162961,72759661,584392,/lib/x86_64-linux-gnu/libpcre2-8.so.0
gradle,latest,7,1,780162961,72759661,157224,/lib/x86_64-linux-gnu/libpthread.so.0
gradle,latest,7,1,780162961,72759661,35928,/lib/x86_64-linux-gnu/librt.so.1
gradle,latest,7,1,780162961,72759661,163200,/lib/x86_64-linux-gnu/libselinux.so.1
gradle,latest,7,1,780162961,72759661,1956992,/lib/x86_64-linux-gnu/libstdc++.so.6
gradle,latest,7,1,780162961,72759661,192032,/lib/x86_64-linux-gnu/libtinfo.so.6
gradle,latest,7,1,780162961,72759661,108936,/lib/x86_64-linux-gnu/libz.so.1
gradle,latest,7,7,780162961,128798209,26211,/opt/gradle/lib/annotations-20.1.0.jar
gradle,latest,7,7,780162961,128798209,2280953,/opt/gradle/lib/ant-1.10.11.jar
